id,place_name,category,rating,sentiment,sentiment_score,text,label
1,The Luigans Spa＆Resort,호텔,2,부정,0.560534,저녁 식사로 이용했습니다. 음료를 부탁하지 않으면 분명히 점원의 태도가 바뀌어서 유감이었습니다. 그 밖에도 이용하려고 생각했습니다만. . . 죄송합니다.,부정
2,그랜드 머큐어 벳푸완 리조트 & 스파,료칸,5,긍정,0.688708246,"신문 전단지에서 이 호텔을 처음 알았습니다. 집 근처의 시설의 선전용이었습니다만, 벳푸에게 가기로 했습니다. 전단지에서도, 구래의 호텔 체인을 싸게 사서 재생하는 비즈니스라고는 곧 알았습니다만, 같은 업태의 모 체인보다 1인당 7000엔 높기 때문에,…",긍정
3,니시테츠 인 후쿠오카,호텔,5,부정,0.539902687,직장에서 이용했습니다. 심야는 대로 쪽이 아니라 뒷문만 넣습니다. 카드를 터치하여 들어갑니다.…,긍정
4,A GOOD DAY FUKUOKA RIVERSIDE,호텔,5,긍정,0.983435929,완벽하게 갖춰져 있습니다,긍정
5,산라이프호텔 2.3,호텔,2,부정,0.947906733,"1박 14000엔. 입지는 최고. JR 하카타역 바로, 지하철은 직결. 한편, 침대 매트리스가 최악. 대각선으로 기울어져 제대로 잠을 잘 수 없다. 대각선으로 되어 있는 것을 보충하도록 시트 아래의 깔개 패드가…",부정
6,Oniyama Hotel,료칸,4,긍정,0.657909214,저녁으로 나온 음식은 맛 있었고 지하보단 옥상 탕이좋네요,긍정
7,후지노엔,료칸,4,부정,0.57279247,"원천을 흘려 가수, 가온, 없음 여과 순환은 물론 없습니다. 완전 걸려 흘러 온천입니다. 분수 온 45.4℃ 용출량 100리터/분 온천 숙소이지만 들러 온천이나 당일치기의 사람들이 많이 뜨거운 물 자랑 의 뜨거운 곳 에 숙박도 가능합니다. 느낌입니다. 건물의 외관은 아파트와 같습니다. 주차장은 골프 연습장입니다. 그물 아래 요금은 1시간 400엔~ 저녁 5시까지 800엔 그리고 몇 가지 있습니다. 효능은 여러 가지가 있습니다. 내 목적은 만성 피부병 연일, 무더운 날, Asemo, 조금 할 수 있습니다. Asemo의 약은 사용할 수 없습니다. 개 두 마리와 함께 자고 있기 때문에 10시 30분~3시까지 들어가서 나가고 나서 들어가서 4 번 효과는 납득입니다.",긍정
8,스테이 에어포트,게스트하우스,5,긍정,0.992274463,"일본 아파트치고는 방이 넓었고, 무료로 제공된 라멘도 맛있었어요. 다음에 또 묵을 의향이 있습니다.",긍정
9,라이프텐진후쿠오카,호텔,1,부정,0.996871293,"외국 관광객을 위한 도미토리 같은 싼 호텔. 유감스럽지만 구미에서는, 이 정도의 질로 제대로 돈을 가져오기 때문에, 외국 관광객에게 있어서는 보통. 욕조도 없고 1만도 걸리기 때문에 일본의 표준이 아닐 수 없다. 두 번 다시 묵지 않을 것입니다.",부정
10,니시테츠 인 후쿠오카,호텔,5,긍정,0.994593322,위치가 좋았어요. 높은 층에서 보이는 전망이 아름다웠어요. 아침 식사도 맛있었어요.…,긍정
11,롯포칸,료칸,2,부정,0.991554558,따뜻한 물은 비교적 좋지만 서비스가 잘 알려져 있지 않다. 식사의 재료가 손상되었습니다.,부정
12,프리미어 호텔 모지코,호텔,2,부정,0.968821645,"여행사의 플랜(프리미어 해협 디럭스 트윈)이었습니다만, 숙박비에 비해서는 방은 좁아서 청소가 지나치지 않아 침대사이드 테이블이나 침대의 베개원에 하얀 먼지가 쌓여 있어 모처럼의 여행이 엉망인 기분이었습니다. 엘리베이터 앞의 융단에 약간의 단차가 있었고, 주인은 얽혀 벽에 머리를 부딪히게 되었습니다. 동경했던 호텔에만 꽉 찼습니다.",부정
13,더 레지덴셜 스위트 후쿠오카,호텔,5,긍정,0.925514221,"입지도 잘 실내 수영장, 야외 수영장 모두 있는 것이 좋다",긍정
14,호텔 오리엔탈 익스프레스 후쿠오카 나카스카와바타,호텔,5,긍정,0.978036702,"방 크기는 정말 작았어요! 큰캐리어 2개펼치니 딱 사람이 지나다닐정도 밖에 안남더라고요ㅎㅎ침실은 싱글침대 2개 붙여서 어른둘에 아이한명 잤는데 괜찮았어요!! 저는 중간에서 잤는데 예민하신분 아니라면 편히주무실듯해요! 숙소에서 도보 10분안에 패밀리마트,세븐일레븐,로손 다 있고 나카스카와바타지하철역도 도보 10분 안걸린것같아요. 아무튼!! 숙소는 작았지만 카운터직원분이 몹시 친절하셨고, 냉장고에 물도 없지만 편의점이…",긍정
15,ANA 크라운 플라자 호텔 후쿠오카,호텔,1,긍정,0.845318079,심야부터 아침까지 계속 사람의 목소리가 울려 천천히 할 수 없었습니다. 주위의 숙박자에게도 축복받지 않고 기대 밖의 숙박이 되었습니다.…,부정
16,미야코 호텔 하카타,호텔,5,긍정,0.717097759,하카타역 치쿠시구치에서 도보 1분 정도. 입지는 최고. 방은 매우 깨끗합니다. 아침 식사는 뷔페가 아닙니다.…,긍정
